panelist,W614,W615,W616,W617,W618,W619,W620,W621,W622,W623,W624,W625,W626,W627,W628,W629,W630,W631,W632,W633,W634,W635,W636,W637,W638,W639,W640,W641,W642,W643,W644,W645,W646,W647,W648,W649,W650,W651,W652,W653,W654,W655,W656,W657,W658,W659,W660,W661,W662,W663,W664,W665,W666,W667,W668,W669,W670,W671,W672,W673,W674,W675,W676,W677,W678,W679,W680,W681,W682,W683,W684,W685,W686,W687,W688,W689,W690,W691,W692,W693,W694,W695,W696,W697,W698,W699,W700,W701,W702,W703,W704,W705,W706,W707,W708,W709,W710,W711,W712,W713,W714,W715,W716,W717
14103150,3,2,2,2,2,3,1,4,2,4,2,1,1,1,1,2,2,3,3,0,1,1,1,0,2,2,3,2,3,1,2,3,3,1,1,3,2,1,3,3,3,3,5,3,6,1,1,2,4,2,3,2,0,4,0,1,0,0,2,1,3,2,3,4,1,0,1,3,2,1,2,3,1,0,2,2,1,0,1,4,0,1,1,1,0,1,2,2,0,1,3,0,1,2,1,0,1,1,2,1,4,2,2,4
14103358,1,5,4,1,3,4,2,4,4,4,4,2,2,2,0,0,4,2,2,0,1,4,3,2,1,1,3,0,1,3,1,3,0,2,4,0,0,2,4,2,3,2,1,1,3,5,3,4,2,3,2,4,1,2,4,2,3,4,2,2,4,3,2,1,2,0,2,0,4,1,1,2,2,1,2,1,4,2,1,1,0,0,0,1,0,1,1,2,2,4,0,2,1,1,0,3,1,2,2,1,2,2,3,3
14103499,2,1,1,0,1,1,3,2,1,1,1,3,1,1,1,2,2,2,2,1,2,1,1,0,0,1,0,1,0,0,1,2,1,1,0,0,2,1,1,0,2,1,1,1,1,0,2,2,1,1,1,2,3,0,0,2,0,2,1,2,0,2,1,1,2,0,1,3,1,3,2,3,3,1,2,1,0,1,1,1,1,0,1,2,1,0,2,2,1,1,1,2,0,1,1,1,0,0,1,2,1,1,1,2
14103580,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,2,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1
14103697,1,2,3,3,0,2,2,2,3,2,3,2,2,2,1,0,1,1,1,2,1,0,1,1,1,1,0,0,0,2,1,1,0,1,1,1,1,2,0,2,1,1,1,1,1,0,1,3,2,0,1,2,1,1,3,2,3,6,2,0,2,1,4,3,1,8,4,4,0,1,2,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,1,1,1,1,1,0
14103853,1,1,1,1,1,0,1,2,1,2,1,2,1,2,0,1,1,0,2,1,1,0,2,1,1,0,1,1,2,0,1,1,1,2,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
14103887,1,0,2,1,0,2,0,1,3,1,0,0,1,2,2,0,1,1,1,1,2,0,3,0,0,0,3,0,0,0,1,2,0,1,1,2,0,1,3,0,0,0,1,1,1,0,0,1,3,1,3,4,4,1,3,0,0,0,2,3,1,0,0,1,0,0,0,0,2,1,0,1,2,2,1,0,2,0,3,0,0,0,0,1,0,2,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,2
14103945,0,1,0,1,1,1,2,1,1,2,2,2,1,1,2,3,1,2,2,2,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,0,2,2,1,2,1,1,1,1,1,1,1,1,3,4,2,2,2,1,2,1,1,2,0,1,0,0,1,2,2,0,2,1,1,0,1,1,1,2,2,3,2,1,1,2,0,0,0,1
14104182,2,2,1,2,1,0,1,2,2,2,3,1,2,1,2,2,1,2,1,2,3,1,2,3,2,1,2,2,0,0,3,3,1,2,1,2,1,1,2,1,2,1,2,2,2,1,2,0,3,1,2,1,1,0,1,3,0,0,2,2,2,2,4,2,3,3,1,3,2,3,1,2,1,1,2,4,1,1,3,2,2,0,1,2,1,2,1,3,2,2,1,1,0,1,1,2,2,2,1,3,1,3,2,2
14105031,4,6,4,4,4,2,5,4,5,3,7,2,3,4,8,4,5,7,5,4,6,5,4,5,5,6,4,8,4,3,3,3,5,2,4,4,3,5,6,5,2,3,3,2,6,3,2,6,6,4,6,5,3,5,3,3,8,3,6,3,9,5,5,6,2,2,8,6,4,3,5,5,4,3,3,6,5,4,6,2,1,0,1,1,3,3,5,4,1,4,3,3,3,2,3,4,3,4,1,5,4,5,2,2
14105064,1,2,1,0,1,0,0,0,1,3,1,1,0,0,2,0,1,0,3,0,1,1,2,3,2,1,1,3,1,0,1,1,2,1,1,3,2,2,1,1,3,0,2,0,3,0,0,1,1,2,2,2,0,2,4,0,2,3,1,2,0,3,3,2,1,3,3,2,0,2,0,2,1,1,2,5,1,0,0,1,0,0,0,0,0,1,1,2,4,1,2,3,2,2,1,0,1,2,1,0,0,2,1,0
14105270,1,0,1,0,0,0,0,1,0,1,2,1,1,0,2,0,0,2,1,2,2,2,2,3,2,0,0,2,2,1,2,1,2,0,2,1,0,1,2,0,1,1,2,2,0,3,2,2,1,0,1,1,1,1,1,0,0,0,2,0,0,1,0,0,1,0,1,1,3,1,2,2,0,1,1,1,0,2,0,0,0,0,0,0,0,1,3,2,1,2,1,1,1,1,2,1,2,1,2,0,1,2,1,2
14105411,1,1,1,1,1,0,0,1,2,0,1,1,1,1,1,1,2,1,1,1,1,2,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,2,1,0,1,3,0,1,1,1,2,1,1,2,1,1,2,1,2,2,1,2,1,1,1,0,1,1,0,1,2,1,1,1,1,0,1,1,1,1,1,2,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,2,1,3,1,1,2,1,1
14105734,4,5,5,3,0,0,6,5,4,1,2,3,3,3,3,2,4,2,4,4,4,1,3,0,4,0,3,3,3,1,7,4,2,3,0,3,0,4,4,4,2,0,3,2,3,2,4,5,0,5,0,6,6,3,1,3,4,1,3,3,0,0,3,2,6,3,0,6,5,3,1,2,2,3,4,2,1,0,4,3,2,1,1,1,3,1,2,4,3,1,2,4,3,3,4,3,0,1,2,2,0,2,1,0
14105759,0,1,1,1,1,1,1,1,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
14106013,2,3,1,0,1,0,0,1,1,1,2,1,1,0,1,2,0,1,1,0,4,0,1,1,1,2,0,1,2,2,0,2,1,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,2,0,3,0,3,0,1,0,2,1,1,0,1,3,0,2,2,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,2,1,0,1,0,2,0,2,1,0,3,4,0,1,3,1,2,0,3
14106104,1,1,2,1,1,2,3,3,2,3,1,0,1,4,1,2,2,3,2,0,2,1,2,1,3,2,0,1,2,3,1,3,2,2,1,2,3,2,2,2,2,1,2,1,2,1,0,2,2,3,2,2,2,3,4,3,4,3,3,1,1,2,1,2,3,2,2,3,1,4,1,2,2,0,2,2,0,1,2,1,0,0,0,0,0,1,1,3,2,1,1,3,1,1,1,1,1,2,1,2,2,1,2,0
14106864,0,0,1,4,1,2,1,2,3,2,4,1,3,3,4,1,2,0,1,2,3,3,3,3,2,1,2,2,4,4,2,0,1,4,1,0,1,4,2,2,2,3,3,2,1,2,2,2,3,2,2,3,2,1,1,2,1,3,1,2,3,2,2,1,2,2,2,2,1,2,1,1,2,2,2,3,2,2,3,1,0,0,0,0,0,1,3,1,1,1,1,3,2,3,2,2,1,2,1,1,1,1,1,0
14107441,0,1,2,1,1,1,1,0,1,0,1,2,1,0,1,2,2,2,1,2,2,1,1,0,0,3,1,2,1,2,0,1,0,1,1,2,3,0,0,0,0,0,0,1,1,1,1,0,2,0,1,1,1,1,0,1,2,2,1,0,0,2,1,0,2,2,3,0,2,0,2,1,1,1,1,0,0,2,1,0,0,0,0,0,0,2,2,1,2,0,0,2,0,0,0,0,2,1,1,1,1,2,0,2
14107581,0,0,2,1,1,1,0,1,2,1,0,1,2,1,1,1,1,2,1,1,3,0,0,1,1,0,2,1,1,0,0,1,0,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,0,0,1,1,1,2,1,2,2,1,1,1,2,2,1,1,1,0,2,1,0,1,2,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,2,1,1,1,1
14107615,3,5,4,3,4,4,6,4,5,6,5,4,5,5,5,5,6,7,8,4,8,4,5,2,5,3,4,5,4,7,6,6,5,6,4,3,5,6,7,5,3,5,6,5,7,4,8,6,5,7,5,6,5,6,5,5,6,6,6,6,3,4,6,6,6,7,6,5,5,5,4,4,4,4,2,3,3,6,5,1,0,0,0,0,0,5,5,5,4,3,4,3,3,6,4,6,4,4,4,3,5,5,4,6
14107912,1,1,0,2,2,4,2,4,0,3,2,2,2,2,3,1,0,1,2,1,4,1,2,1,3,2,3,5,4,3,3,1,1,4,5,4,3,3,0,0,1,5,4,5,4,2,4,4,5,2,3,1,4,5,5,2,3,1,3,3,3,3,3,2,4,5,4,4,2,1,2,4,1,3,1,0,2,2,3,0,0,0,0,0,0,2,3,5,2,2,2,4,3,1,3,2,1,4,1,3,2,1,3,0
14108498,0,1,2,1,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,1,1,0,1,1,0,2,1,2,0,1,0,2,1,0,0,0,0,0
14108605,2,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,1,0,1,1,3,1,1,0,2,0,3,0,2,0,1,2,1,0,3,3,1,1,1,3,1,3,1,1,2,1,2,1,2,4,1,2,1,1,2,2,3,2,2,2,1,0,2,1,1,1,0,2,0,1,4,2,4,3,2,1,2,1,1,2,1,3,1,1,1,2,1,1,1,1,1,0,2,1,1,2,0,2,0
14108894,0,1,0,1,1,2,0,0,0,2,1,2,1,0,1,0,1,2,0,0,1,1,1,0,1,0,2,0,1,0,2,1,0,2,1,2,0,1,1,1,1,0,0,2,1,0,1,1,1,1,0,2,0,1,1,0,0,2,1,2,0,1,0,1,2,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,2,0,0,0,2,0,1,1,1,1,0,1,1,0,1
14108902,1,2,0,1,0,1,0,2,2,0,0,1,0,1,0,0,1,2,0,1,0,1,1,2,1,1,1,0,0,1,1,1,3,1,0,1,2,1,0,2,0,1,0,1,0,0,0,1,1,0,0,1,2,0,1,1,3,0,2,1,0,1,0,1,1,2,1,1,1,1,1,0,2,0,2,1,1,1,1,1,0,1,0,1,0,0,1,2,1,1,0,0,2,0,1,1,0,0,1,1,0,2,0,0
14108928,2,1,0,1,2,0,2,1,1,1,1,2,2,1,0,2,1,2,1,1,1,1,0,2,2,2,4,1,1,1,2,1,1,2,0,1,0,1,1,2,1,1,2,1,2,1,2,1,2,1,2,0,0,2,2,1,1,1,2,2,1,3,2,2,1,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,0,2,1,1,1,1,2,1,1,1,2,2,0,1,2,1,1,0,0,0,0
14108985,1,0,0,0,2,1,1,0,0,2,1,0,0,0,1,1,0,0,1,2,1,1,1,1,2,0,1,3,1,1,1,3,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,2,1,0,0,1,1,0,1,3,1,1,1,2,0,2,2,1,0,1,2,0,1,0,1,0,0,2,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,3,1,1,1,2,1,2,1,0,0,1,1
14109157,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0
14109173,3,1,4,0,3,3,0,2,2,2,2,0,1,0,0,2,0,1,0,2,2,0,5,7,1,3,1,2,1,0,0,3,2,2,3,3,2,1,3,6,2,2,2,1,4,4,3,3,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,2,3,1,1,1,3,4,5,4,2,1,0,0,1,2,7,0,2,0,4,1,0,2,1,2,1,4,2,2,1,1,4,2,2,0,0,1,0,0,0,0
14109199,1,0,0,1,0,2,2,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,2,0,1,0,1,2,0,0,1,1,1,1,0,0,1,0,0,2,0,2,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1
14109223,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,2,1,0,0,1,0,1,2,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,2,0,1,0,0,1,1,0,0,1,1,0,1,2,1,0,0,0,0,0,1,2,0,0,2,1,1,0,1,1,0,1,1,1,1
14109322,1,1,1,1,0,1,1,3,1,0,2,1,0,1,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,2,1,2,1,1,1,1,1,0,2,1,2,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,0,0,1,1,1,2
14109629,2,0,1,2,0,4,1,2,2,10,2,0,3,3,6,4,3,2,6,1,3,1,5,1,1,0,0,0,0,0,0,1,0,1,1,3,1,3,2,2,1,1,1,2,1,4,2,1,0,0,2,2,0,2,2,1,0,2,2,5,3,2,4,3,1,2,2,0,2,1,1,2,0,0,0,4,0,1,0,0,0,2,1,2,2,0,2,3,1,1,1,2,0,2,2,1,0,1,0,3,1,0,1,1
14110155,1,2,1,3,1,2,2,2,2,2,4,2,2,2,3,1,3,2,2,1,3,2,4,2,1,1,3,0,0,2,2,1,2,1,2,0,4,0,1,3,3,2,2,3,1,4,2,4,2,3,3,4,4,3,2,3,2,3,3,2,4,2,3,3,2,1,2,3,2,2,2,2,2,1,1,3,2,3,3,1,2,1,3,0,3,4,2,3,3,1,4,3,1,3,2,3,2,0,3,3,1,0,0,3
14110874,0,2,0,0,0,2,0,0,3,1,0,2,0,0,1,0,1,1,1,1,1,0,2,0,2,0,0,1,0,1,1,1,2,1,0,0,1,0,2,0,1,0,0,0,1,1,0,2,0,1,0,4,0,1,1,0,1,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,2,0,0,1,2
14111757,1,1,1,1,2,2,1,1,1,1,1,1,1,0,1,0,1,1,1,2,1,1,1,0,1,1,1,1,1,2,1,1,1,1,0,1,2,2,1,1,1,1,1,1,2,2,0,1,2,1,1,1,1,0,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,1,1,0,1,1,2,2,1,0,1,3,1,1,2,1,1
14111823,1,2,1,1,1,2,2,0,2,1,0,2,1,0,0,0,1,0,0,0,2,2,0,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,0,2,2,2,2,1,2,2,0,2,1,0,0,1,0,1,1,2,1,3,1,2,2,0,0,0,0,2,1,1,1,2,1,0,1,0,2,1,0,3,2,0,2,1,0,2,1,0,2,1,1,1,1,2,1,2,2,3,2,2,1,1,2,1,2,2
14111898,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,2,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,2,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,2,1,2,2,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
14112094,1,1,2,1,0,1,1,1,2,0,0,1,1,0,1,1,0,2,1,2,2,0,0,0,2,0,2,1,1,0,1,1,1,1,0,1,2,2,1,0,0,1,1,2,0,0,1,1,1,1,0,2,4,0,1,1,0,0,2,1,1,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,3,0,0,0,1,0,0,3,1,1,0,1,0,0,0,0,0,1
14112185,1,1,0,2,1,2,0,0,1,2,0,2,2,0,1,1,0,0,2,0,1,0,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,3,0,1,2,2,0,2,0,1,3,2,2,2,2,1,0,1,0,2,1,1,1,3,0,1,2,2,0,2,1,0,3,1,3,1,2,2,2,2,1,2,1,1,2,1,3,2,2,2,2,0,2,1,3,2,2,2,2,1,2,1,2
14112219,2,3,2,1,1,3,1,2,4,2,2,2,2,2,3,2,2,1,2,3,2,2,3,2,0,2,1,2,2,1,2,4,2,2,2,3,1,3,2,3,3,2,3,2,3,4,2,4,2,3,2,2,1,4,2,0,2,3,3,1,2,3,2,3,3,2,2,4,3,2,4,3,1,3,1,0,3,0,4,1,2,0,4,2,4,2,2,3,4,3,4,3,5,2,5,3,4,5,4,4,3,4,1,3
14112318,4,2,4,4,5,1,1,1,5,2,1,2,1,0,1,5,0,0,0,0,3,2,3,1,2,3,2,2,3,2,2,4,0,1,0,2,2,3,0,2,0,3,3,4,2,2,2,4,2,7,2,2,3,5,2,0,4,1,1,0,2,0,2,2,3,1,1,0,3,0,1,0,7,2,7,4,5,4,6,4,2,5,0,6,5,3,4,3,4,5,2,4,4,4,5,7,2,8,8,9,8,6,6,0
14112532,2,3,3,2,1,1,3,4,2,4,6,5,2,2,2,4,5,3,4,2,4,7,3,5,3,7,3,4,3,5,2,3,5,5,3,4,7,6,3,4,4,4,3,4,4,4,2,5,6,4,5,4,4,4,4,1,3,1,4,3,4,4,2,4,2,5,2,3,2,1,2,3,2,4,3,3,3,3,4,2,4,3,3,3,3,2,2,1,5,5,2,1,2,5,2,3,4,4,2,8,1,2,3,3
14112763,1,1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,2,1,0,2,0,0,1,0,0,2,1,0,0,3,1,0,0,2,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,1,0,2,2,0,1,1,1,0,0,0,2,0,1,0,1,3,1,1,1,0,0,0,2,0,1,0,2,1,0,0,0,2
14112888,3,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,2,2,1,2,1,1,2,2,2,2,2,1,2,2,1,2,1,2,2,0,2,0,2,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,2,1,2,3,0,2,2,2,1,2,1,0,1,2,2,0,2,0,2
14112896,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14113423,0,1,1,2,1,2,4,2,1,2,1,1,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,3,2,1,1,1,1,2,2,1,0,2,0,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,2,2,2,2,2,1,1,0,1,2,4,1
14113456,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
14113480,1,1,0,2,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,2,1,1,0,0,2,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,2,0,1,1,3,1,1,0,1,1,1,2,1,0,0,0,0,0,1,0,2,0,2,1,1,0,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
14113506,1,1,2,1,1,2,2,2,2,2,0,1,2,0,0,2,2,2,0,0,0,2,2,0,2,0,0,0,0,0,0,1,0,1,0,2,2,2,2,2,0,1,2,2,0,4,2,0,2,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,2,0,1,1,0,1,0,2,2,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,2,0,2,2,3,0,1,2,1,0,0,1
14113878,2,2,1,3,2,1,1,0,3,4,1,3,1,0,2,2,0,0,2,1,2,2,2,2,3,3,1,3,2,0,1,1,3,2,2,1,2,1,0,1,1,1,0,1,5,1,3,1,1,1,1,4,1,2,1,2,1,2,2,1,0,1,3,3,3,3,3,2,2,2,3,3,3,1,1,1,3,2,2,2,2,1,2,1,2,2,2,3,4,3,2,2,1,1,1,1,2,2,2,3,0,0,2,1
