crestms,colgms,crestpr,colgpr
0.352,0.251,1.96,2.09
0.322,0.303,2.03,1.98
0.333,0.274,2,1.99
0.365,0.328,1.98,1.96
0.367,0.244,1.96,2.05
0.305,0.323,1.9,1.95
0.298,0.288,1.98,2.03
0.307,0.293,1.99,1.99
0.318,0.321,1.98,2
0.28,0.33,1.97,1.94
0.298,0.273,1.98,2.03
0.336,0.304,1.94,1.97
0.339,0.292,1.93,2.02
0.344,0.251,2,2.05
0.31,0.35,2.03,1.97
0.317,0.302,1.95,2.03
0.369,0.306,1.96,1.93
0.32,0.272,1.98,1.98
0.29,0.296,2.05,2.06
0.361,0.265,1.97,1.95
0.235,0.364,2.01,2.05
0.32,0.284,1.95,2
0.337,0.33,1.89,2.06
0.289,0.351,1.94,2.05
0.339,0.336,2,1.97
0.187,0.383,2.01,2.04
0.414,0.214,1.93,2
0.373,0.26,2,1.98
0.265,0.298,2.01,1.95
0.316,0.248,1.89,1.95
0.245,0.308,1.93,1.91
0.328,0.356,1.83,2
0.368,0.278,1.9,1.94
0.287,0.314,1.85,2.01
0.369,0.214,1.93,1.98
0.406,0.253,1.95,1.86
0.316,0.287,1.93,1.99
0.362,0.238,1.95,1.95
0.308,0.253,1.92,2
0.286,0.336,1.9,1.95
0.42,0.255,1.88,1.89
0.299,0.249,1.88,1.99
0.383,0.195,1.84,2.04
0.354,0.269,2.03,1.96
0.418,0.201,1.97,1.93
0.425,0.184,1.94,1.92
0.445,0.203,1.87,1.97
0.408,0.193,1.91,2.01
0.282,0.322,1.85,1.92
0.41,0.261,1.78,1.96
0.425,0.183,1.83,1.95
0.358,0.289,1.84,1.86
0.393,0.243,1.81,1.92
0.375,0.302,1.89,1.92
0.273,0.35,1.88,1.89
0.237,0.401,1.81,2
0.331,0.332,1.83,1.96
0.335,0.351,1.9,1.93
0.395,0.28,1.87,1.99
0.357,0.308,1.9,1.97
0.296,0.299,1.93,2
0.307,0.199,1.9,1.99
0.39,0.283,1.72,1.96
0.298,0.333,1.89,1.87
0.381,0.233,1.85,1.93
0.354,0.296,1.85,1.97
0.436,0.267,1.96,2
0.357,0.253,1.88,1.95
0.427,0.239,1.76,2
0.432,0.155,1.8,2
0.45,0.247,1.73,1.99
0.53,0.201,1.67,1.84
0.431,0.266,1.72,1.93
0.42,0.29,1.76,1.91
0.411,0.231,1.76,1.94
0.423,0.255,1.8,1.98
0.433,0.242,1.72,1.94
0.393,0.271,1.87,1.95
0.389,0.266,1.8,1.86
0.387,0.244,1.85,1.91
0.439,0.204,1.71,1.9
0.421,0.213,1.74,1.87
0.363,0.295,1.86,1.88
0.401,0.254,1.88,1.86
0.394,0.242,1.78,1.95
0.459,0.228,1.74,1.93
0.441,0.181,1.83,1.88
0.388,0.264,1.82,1.84
0.373,0.277,1.82,1.85
0.385,0.284,1.8,1.8
0.314,0.248,1.87,1.88
0.347,0.28,1.92,1.86
0.408,0.249,1.91,1.82
0.341,0.279,1.75,1.85
0.361,0.282,1.9,1.82
0.414,0.267,1.82,1.86
0.38,0.252,1.77,1.81
0.274,0.19,1.85,1.79
0.352,0.284,1.83,1.77
0.439,0.207,1.83,1.76
0.355,0.327,1.89,1.78
0.435,0.259,1.87,1.73
0.408,0.286,1.9,1.68
0.383,0.275,1.81,1.69
0.357,0.244,1.83,1.79
0.374,0.341,1.85,1.68
0.366,0.331,1.78,1.76
0.346,0.25,1.79,1.73
0.381,0.22,1.75,1.74
0.329,0.293,1.88,1.74
0.474,0.205,1.71,1.74
0.397,0.254,1.8,1.78
0.436,0.268,1.79,1.76
0.417,0.211,1.66,1.82
0.43,0.203,1.74,1.66
0.388,0.271,1.63,1.81
0.453,0.29,1.73,1.76
0.316,0.323,1.75,1.82
0.414,0.253,1.79,1.68
0.396,0.23,1.72,1.83
0.42,0.22,1.84,1.74
0.432,0.235,1.84,1.71
0.453,0.228,1.82,1.7
0.43,0.216,1.82,1.68
0.327,0.324,1.73,1.7
0.388,0.268,1.75,1.67
0.377,0.257,1.85,1.77
0.466,0.194,1.65,1.75
0.478,0.212,1.79,1.59
0.365,0.218,1.81,1.72
0.472,0.216,1.66,1.64
0.399,0.276,1.76,1.74
0.391,0.19,1.71,1.8
0.473,0.249,1.76,1.81
0.384,0.172,1.81,1.67
