Date,Temperature F,Humidity,Wind Speed,Total Users
10/25/2011,62.5,39,24,200
10/26/2011,65.9,53,15,194
10/27/2011,59,88,9,53
10/28/2011,48.7,40,11,213
10/29/2011,36.6,87,33,50
10/30/2011,48.7,50,13,314
10/31/2011,52.1,44,15,170
11/1/2011,59,48,6,176
11/2/2011,55.6,55,11,189
11/3/2011,59,51,13,179
11/4/2011,57.3,55,33,197
11/5/2011,47,46,11,372
11/6/2011,53.9,54,0,346
11/7/2011,55.6,67,0,179
11/8/2011,60.8,52,9,203
11/9/2011,59,51,11,180
11/10/2011,52.1,67,24,167
11/11/2011,45.2,42,31,239
11/12/2011,53.9,44,19,366
11/13/2011,60.8,29,28,354
11/14/2011,64.2,56,20,202
11/15/2011,62.5,68,0,176
11/16/2011,55.6,100,0,54
11/17/2011,45.2,53,20,121
11/18/2011,43.5,33,0,165
11/19/2011,50.4,35,19,311
11/20/2011,59,63,9,304
11/21/2011,59,77,9,162
11/22/2011,50.4,100,6,21
11/23/2011,57.3,55,28,160
11/24/2011,55.6,36,15,150
11/25/2011,55.6,51,7,272
11/26/2011,53.9,51,0,309
11/27/2011,62.5,56,19,256
11/28/2011,64.2,60,7,178
11/29/2011,52.1,82,28,18
11/30/2011,47,53,19,160
12/1/2011,47,46,15,148
12/2/2011,47,57,9,204
12/3/2011,47,50,0,358
12/4/2011,47,81,11,329
12/5/2011,50.4,76,7,154
12/6/2011,55.6,100,15,55
12/7/2011,53.9,100,9,33
12/8/2011,40,52,22,156
12/9/2011,47,57,20,173
12/10/2011,43.5,45,28,283
12/11/2011,38.3,35,0,288
12/12/2011,40,52,7,145
12/13/2011,47,43,24,167
12/14/2011,47,57,6,144
12/15/2011,55.6,59,33,157
12/16/2011,45.2,42,24,173
12/17/2011,40,45,19,244
12/18/2011,38.3,60,15,228
12/19/2011,41.8,61,22,141
12/20/2011,53.9,54,9,175
12/21/2011,55.6,88,26,61
12/22/2011,57.3,55,0,202
12/23/2011,50.4,54,35,170
12/24/2011,45.2,39,19,94
12/25/2011,41.8,75,20,66
12/26/2011,47,43,31,100
12/27/2011,41.8,81,6,24
12/28/2011,45.2,46,37,140
12/29/2011,38.3,56,7,130
12/30/2011,43.5,57,9,197
12/31/2011,60.8,39,20,273
1/1/2012,50.4,62,19,201
1/2/2012,40,36,17,202
1/3/2012,31.4,37,35,74
1/4/2012,24.5,46,13,84
1/5/2012,41.8,49,17,120
1/6/2012,47,50,17,191
1/7/2012,50.4,43,15,376
1/8/2012,48.7,43,15,351
1/9/2012,38.3,56,7,103
1/10/2012,52.1,38,20,140
1/11/2012,41.8,81,0,55
1/12/2012,45.2,81,7,144
1/13/2012,36.6,38,33,154
1/14/2012,34.9,41,17,219
1/15/2012,31.4,40,20,234
1/16/2012,33.1,55,22,185
1/17/2012,43.5,87,19,86
1/18/2012,41.8,39,33,161
1/19/2012,33.1,51,13,111
1/20/2012,33.1,34,22,124
1/21/2012,33.1,80,11,67
1/22/2012,29.7,80,15,185
1/23/2012,34.9,93,0,62
1/24/2012,45.2,87,11,175
1/25/2012,43.5,53,9,193
1/26/2012,45.2,81,9,165
1/27/2012,59,88,11,180
1/28/2012,41.8,61,19,314
1/29/2012,43.5,26,15,288
1/30/2012,38.3,35,26,134
1/31/2012,50.4,43,20,194
2/1/2012,53.9,54,7,179
2/2/2012,52.1,82,0,148
2/3/2012,45.2,46,9,216
2/4/2012,41.8,70,6,300
2/5/2012,38.3,65,13,248
2/6/2012,43.5,61,11,150
2/7/2012,50.4,40,22,172
2/8/2012,40,65,19,138
2/9/2012,38.3,48,22,158
2/10/2012,41.8,42,9,176
2/11/2012,38.3,81,11,221
2/12/2012,28,39,43,140
2/13/2012,40,28,22,118
2/14/2012,41.8,52,15,172
2/15/2012,48.7,46,26,163
2/16/2012,43.5,76,6,45
2/17/2012,48.7,46,26,198
2/18/2012,47,43,13,369
2/19/2012,40,52,17,255
2/20/2012,40,45,15,281
2/21/2012,41.8,56,26,163
2/22/2012,50.4,62,19,207
2/23/2012,59,42,17,224
2/24/2012,50.4,76,9,228
2/25/2012,43.5,29,44,258
2/26/2012,41.8,39,9,305
2/27/2012,50.4,37,20,177
2/28/2012,47,34,9,183
2/29/2012,43.5,93,22,70
3/1/2012,64.2,37,15,220
3/2/2012,50.4,43,11,234
3/3/2012,52.1,67,17,299
3/4/2012,45.2,42,24,327
3/5/2012,38.3,52,0,137
3/6/2012,38.3,41,7,138
3/7/2012,53.9,38,26,215
3/8/2012,64.2,60,30,251
3/9/2012,47,34,28,201
3/10/2012,41.8,33,22,329
3/11/2012,50.4,37,20,410
3/12/2012,57.3,39,15,221
3/13/2012,67.7,60,19,244
3/14/2012,71.1,29,0,267
3/15/2012,69.4,50,9,265
3/16/2012,53.9,82,9,294
3/17/2012,64.2,68,11,651
3/18/2012,53.9,88,9,503
3/19/2012,67.7,64,17,282
3/20/2012,67.7,78,17,261
3/21/2012,62.5,77,0,229
3/22/2012,62.5,88,13,272
3/23/2012,72.8,61,15,471
3/24/2012,60.8,94,15,183
3/25/2012,50.4,94,15,360
3/26/2012,57.3,33,35,279
3/27/2012,43.5,31,11,220
3/28/2012,62.5,39,24,268
3/29/2012,59,42,33,292
3/30/2012,48.7,54,0,270
3/31/2012,57.3,67,0,621
4/1/2012,52.1,67,15,445
4/2/2012,53.9,44,30,281
4/3/2012,60.8,25,0,331
4/4/2012,67.7,46,28,283
4/5/2012,53.9,33,0,276
4/6/2012,52.1,35,20,337
4/7/2012,55.6,23,26,590
4/8/2012,62.5,24,17,457
4/9/2012,62.5,28,48,280
4/10/2012,62.5,22,19,259
4/11/2012,47,46,26,182
4/12/2012,55.6,41,30,259
4/13/2012,59,31,0,322
4/14/2012,65.9,35,17,678
4/15/2012,71.1,44,19,635
4/16/2012,74.6,57,17,271
4/17/2012,67.7,33,24,244
4/18/2012,55.6,51,7,110
4/19/2012,62.5,49,0,264
4/20/2012,65.9,53,13,362
4/21/2012,71.1,57,15,640
4/22/2012,48.7,87,22,61
4/23/2012,45.2,71,24,129
4/24/2012,57.3,29,26,224
4/25/2012,62.5,28,19,269
4/26/2012,60.8,83,9,204
4/27/2012,55.6,36,24,307
4/28/2012,48.7,43,0,381
4/29/2012,57.3,44,7,584
4/30/2012,53.9,47,9,225
5/1/2012,76.3,58,15,269
5/2/2012,65.9,83,15,245
5/3/2012,64.2,73,9,301
5/4/2012,69.4,78,24,171
5/5/2012,78,58,7,550
5/6/2012,67.7,64,6,558
5/7/2012,64.2,68,15,263
5/8/2012,69.4,65,22,263
5/9/2012,69.4,57,15,280
5/10/2012,60.8,48,28,272
5/11/2012,64.2,28,28,348
5/12/2012,71.1,36,11,559
5/13/2012,71.1,57,15,531
5/14/2012,64.2,88,19,185
5/15/2012,71.1,73,13,264
5/16/2012,76.3,54,13,330
5/17/2012,67.7,43,13,348
5/18/2012,69.4,41,13,360
5/19/2012,72.8,36,0,642
5/20/2012,74.6,36,22,637
5/21/2012,67.7,83,17,170
5/22/2012,69.4,78,7,254
5/23/2012,72.8,69,6,248
5/24/2012,76.3,58,7,289
5/25/2012,78,66,7,321
5/26/2012,79.8,66,15,529
5/27/2012,79.8,66,17,570
5/28/2012,81.5,62,9,525
5/29/2012,84.9,55,22,237
5/30/2012,76.3,54,0,253
5/31/2012,78,37,13,292
6/1/2012,76.3,74,24,310
6/2/2012,69.4,43,24,668
6/3/2012,72.8,39,20,684
6/4/2012,71.1,41,30,282
6/5/2012,62.5,56,15,247
6/6/2012,69.4,38,0,315
6/7/2012,76.3,42,0,336
6/8/2012,78,39,22,369
6/9/2012,84.9,29,17,531
6/10/2012,86.7,30,0,502
6/11/2012,84.9,43,13,261
6/12/2012,72.8,83,17,95
6/13/2012,74.6,44,28,334
6/14/2012,72.8,61,15,265
6/15/2012,76.3,45,11,403
6/16/2012,74.6,41,7,603
6/17/2012,69.4,57,0,615
6/18/2012,64.2,78,9,168
6/19/2012,76.3,65,6,292
6/20/2012,90.1,47,11,180
6/21/2012,93.6,35,13,215
6/22/2012,88.4,49,9,254
6/23/2012,84.9,43,13,602
6/24/2012,84.9,33,15,556
6/25/2012,81.5,45,20,270
6/26/2012,72.8,34,30,308
6/27/2012,81.5,29,20,322
6/28/2012,88.4,26,19,276
6/29/2012,95.3,40,17,226
6/30/2012,91.8,30,17,471
7/1/2012,93.6,37,15,433
7/2/2012,88.4,32,13,257
7/3/2012,91.8,28,13,272
7/4/2012,90.1,41,15,494
7/5/2012,93.6,35,24,276
7/6/2012,91.8,28,7,331
7/7/2012,98.7,31,24,342
7/8/2012,95.3,42,13,376
7/9/2012,79.8,58,9,266
7/10/2012,84.9,41,9,272
7/11/2012,83.2,43,0,292
7/12/2012,83.2,35,9,292
7/13/2012,81.5,40,7,379
7/14/2012,79.8,66,6,499
7/15/2012,88.4,47,7,489
7/16/2012,88.4,49,9,237
7/17/2012,93.6,35,0,254
7/18/2012,95.3,37,9,202
7/19/2012,88.4,49,19,274
7/20/2012,74.6,83,11,274
7/21/2012,67.7,83,15,457
7/22/2012,76.3,70,7,504
7/23/2012,84.9,52,11,314
7/24/2012,86.7,56,15,229
7/25/2012,81.5,33,0,310
7/26/2012,88.4,56,17,279
7/27/2012,88.4,49,24,299
7/28/2012,88.4,41,15,487
7/29/2012,81.5,55,22,511
7/30/2012,81.5,58,7,278
7/31/2012,84.9,46,0,248
8/1/2012,84.9,49,7,284
8/2/2012,88.4,44,9,286
8/3/2012,90.1,50,20,338
8/4/2012,90.1,40,24,547
8/5/2012,90.1,47,35,491
8/6/2012,83.2,55,6,285
8/7/2012,84.9,55,9,283
8/8/2012,84.9,52,0,280
8/9/2012,88.4,44,7,277
8/10/2012,79.8,66,24,315
8/11/2012,81.5,58,15,546
8/12/2012,79.8,42,13,505
8/13/2012,83.2,40,13,276
8/14/2012,83.2,49,9,300
8/15/2012,79.8,55,15,307
8/16/2012,84.9,33,7,343
8/17/2012,86.7,41,15,365
8/18/2012,81.5,37,13,654
8/19/2012,71.1,73,0,298
8/20/2012,72.8,61,7,282
8/21/2012,78,45,0,305
8/22/2012,79.8,51,0,312
8/23/2012,83.2,38,0,332
8/24/2012,81.5,45,6,371
8/25/2012,78,54,26,584
8/26/2012,78,74,24,626
8/27/2012,81.5,62,0,283
8/28/2012,84.9,49,19,297
8/29/2012,81.5,40,0,360
8/30/2012,81.5,45,9,294
8/31/2012,90.1,26,17,410
9/1/2012,84.9,55,11,471
9/2/2012,79.8,70,0,545
9/3/2012,81.5,62,20,543
9/4/2012,81.5,70,19,287
9/5/2012,83.2,70,7,266
9/6/2012,78,79,15,137
9/7/2012,83.2,59,11,323
9/8/2012,84.9,55,33,694
9/9/2012,72.8,47,0,757
9/10/2012,71.1,44,26,332
9/11/2012,71.1,33,0,316
9/12/2012,74.6,36,9,352
9/13/2012,74.6,44,7,297
9/14/2012,76.3,54,13,409
9/15/2012,72.8,36,24,706
9/16/2012,72.8,44,11,656
9/17/2012,69.4,69,13,295
9/18/2012,74.6,83,30,88
9/19/2012,67.7,43,17,313
9/20/2012,69.4,43,9,290
9/21/2012,74.6,57,11,389
9/22/2012,78,54,20,688
9/23/2012,64.2,43,7,776
9/24/2012,64.2,35,20,342
9/25/2012,69.4,43,19,302
9/26/2012,74.6,61,15,316
9/27/2012,79.8,48,9,335
9/28/2012,76.3,54,17,380
9/29/2012,69.4,41,20,682
9/30/2012,69.4,41,20,680
10/1/2012,67.7,43,11,323
10/2/2012,67.7,88,13,104
10/3/2012,76.3,70,7,358
10/4/2012,78,54,13,288
10/5/2012,78,42,11,468
10/6/2012,76.3,54,7,743
10/7/2012,52.1,71,0,392
10/8/2012,52.1,63,11,341
10/9/2012,57.3,69,13,260
10/10/2012,62.5,56,15,390
10/11/2012,55.6,36,0,326
10/12/2012,62.5,39,31,387
10/13/2012,53.9,35,0,573
10/14/2012,69.4,46,22,562
10/15/2012,67.7,78,22,284
10/16/2012,60.8,45,22,325
10/17/2012,60.8,48,11,332
10/18/2012,67.7,53,17,377
10/19/2012,71.1,69,15,332
10/20/2012,64.2,46,7,703
10/21/2012,62.5,39,22,675
10/22/2012,65.9,35,0,283
10/23/2012,69.4,46,6,378
10/24/2012,69.4,61,6,316
10/25/2012,64.2,78,7,319
10/26/2012,65.9,73,13,392
10/27/2012,67.7,53,17,668
10/28/2012,57.3,59,33,491
10/31/2012,50.4,58,13,241
11/1/2012,48.7,62,11,221
11/2/2012,52.1,41,24,292
11/3/2012,47,46,31,394
11/4/2012,48.7,46,15,504
11/5/2012,47,43,22,244
11/6/2012,43.5,45,9,248
11/7/2012,43.5,53,19,212
11/8/2012,50.4,24,33,235
11/9/2012,53.9,41,22,262
11/10/2012,57.3,48,0,606
11/11/2012,59,48,6,585
11/12/2012,64.2,64,15,419
11/13/2012,45.2,61,19,196
11/14/2012,45.2,46,0,240
11/15/2012,47,62,7,213
11/16/2012,50.4,43,19,290
11/17/2012,50.4,40,11,476
11/18/2012,50.4,62,19,442
11/19/2012,50.4,62,19,242
11/20/2012,52.1,67,0,313
11/21/2012,53.9,41,13,344
11/22/2012,53.9,35,0,262
11/23/2012,53.9,38,17,379
11/24/2012,41.8,36,41,199
11/25/2012,38.3,41,15,202
11/26/2012,52.1,35,7,210
11/27/2012,40,87,26,76
11/28/2012,45.2,42,26,208
11/29/2012,47,40,11,236
11/30/2012,48.7,46,0,268
12/1/2012,43.5,81,6,446
12/2/2012,45.2,81,11,520
12/3/2012,60.8,68,11,268
12/4/2012,60.8,68,13,312
12/5/2012,53.9,41,19,232
12/6/2012,40,41,0,235
12/7/2012,45.2,71,13,240
12/8/2012,50.4,87,15,486
12/9/2012,50.4,82,20,315
12/10/2012,53.9,100,15,173
12/11/2012,47,53,30,226
12/12/2012,45.2,42,0,232
12/13/2012,47,40,17,282
12/14/2012,47,50,13,273
12/15/2012,48.7,50,6,453
12/16/2012,48.7,82,13,417
12/17/2012,50.4,87,0,232
12/18/2012,57.3,48,17,313
12/19/2012,50.4,54,19,236
12/20/2012,47,53,11,212
12/21/2012,43.5,39,24,224
12/22/2012,41.8,36,44,146
12/23/2012,41.8,42,13,196
12/24/2012,40,56,6,135
12/25/2012,43.5,76,6,114
12/26/2012,34.9,87,22,10
12/27/2012,41.8,49,31,109
12/28/2012,41.8,49,9,222
12/29/2012,33.1,100,0,48
12/30/2012,40,36,39,144
12/31/2012,36.6,56,13,224
